zone,n,corr,mae,bias,sim_mean,act_mean
AT,840,0.3233,30.6776,-13.4438,103.1810,116.6248
BE,840,0.1703,38.0164,-28.0337,69.0422,97.0759
BG,840,0.7747,30.8114,4.1366,120.1420,116.0054
CH,840,0.6762,24.0411,-8.4062,105.9741,114.3803
CZ,840,0.6788,25.9287,-14.6805,99.5346,114.2151
DE_LU,840,0.8033,21.5875,-10.5730,98.5982,109.1712
DK1,840,0.6144,30.5551,-17.0256,90.0882,107.1138
DK2,840,0.2367,36.8915,-9.6129,97.9651,107.5780
EE,840,0.7809,51.6120,-38.0484,63.3932,101.4416
ES,840,0.7946,22.5544,4.5199,70.4625,65.9426
FI,840,0.8478,37.2969,-34.1469,38.9690,73.1160
FR,840,0.7292,25.9684,3.5283,68.5317,65.0033
GR,840,0.8227,23.8479,-6.2825,97.3053,103.5878
HU,840,0.7388,33.7219,-14.0536,112.9517,127.0054
IT-CNORTH,840,0.6367,23.2708,0.5065,126.9319,126.4255
IT-CSOUTH,840,0.7109,20.2671,-13.9810,110.4008,124.3819
IT-Calabria,840,0.7685,19.1083,-13.9469,108.1796,122.1265
IT-NORTH,840,0.6337,22.5979,-1.0812,125.0006,126.0818
IT-SOUTH,840,0.7509,19.8498,-13.9004,108.5008,122.4013
IT-Sardinia,840,0.6782,24.0074,-15.9724,105.0534,121.0258
IT-Sicily,840,0.7344,20.2836,-12.4863,110.7711,123.2574
LT,840,0.7982,49.7563,-40.0824,72.2633,112.3458
LV,840,0.7891,52.4604,-44.5958,67.3541,111.9499
NL,840,0.5192,26.4984,-14.8215,88.3351,103.1566
NO1,840,0.0082,55.7838,24.9123,112.7860,87.8737
NO2,840,0.6651,17.0809,-2.5284,90.5927,93.1211
NO3,840,0.3128,44.6335,24.5684,82.8529,58.2844
NO4,840,0.1826,29.9759,-0.5090,29.7310,30.2401
NO5,840,0.4086,30.5826,5.3849,83.9609,78.5760
PL,840,0.6508,29.5162,-15.8051,102.8577,118.6627
PT,840,0.7676,23.4254,5.4485,70.7180,65.2695
RO,840,0.5497,49.0064,20.4011,142.4550,122.0539
RS,840,0.6259,36.1458,10.7085,120.4048,109.6962
SE1,840,0.4967,30.3649,-14.0875,29.6999,43.7874
SE2,840,0.4985,30.1734,-14.3202,28.0495,42.3697
SE3,840,0.4423,39.6508,4.6697,78.7281,74.0584
SE4,840,0.6420,36.2297,-13.2198,74.4207,87.6404
SI,840,0.4447,38.3379,-11.7459,107.1469,118.8928
SK,840,0.6834,38.7827,-33.5514,84.1517,117.7030
