zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.3227,29.7856,-12.8287,103.3989,116.2277
BE,864,0.1705,37.4198,-27.7085,69.2171,96.9256
BG,864,0.7768,30.4036,3.6520,120.2707,116.6187
CH,864,0.6774,23.4620,-8.2211,105.7849,114.0060
CZ,864,0.6777,25.5220,-14.3041,99.5258,113.8299
DE_LU,864,0.8029,21.2569,-10.4237,98.5803,109.0041
DK1,864,0.6122,30.2900,-17.0020,89.9565,106.9585
DK2,864,0.2368,36.1789,-9.3847,98.0803,107.4650
EE,864,0.7752,50.7539,-37.0807,63.6150,100.6957
ES,864,0.7971,22.2469,4.2575,69.6051,65.3475
FI,864,0.8476,36.9458,-33.8834,38.1572,72.0406
FR,864,0.7234,25.9600,2.7984,68.0617,65.2633
GR,864,0.8267,23.6440,-6.4882,98.0580,104.5461
HU,864,0.7434,33.2030,-13.9654,113.2495,127.2149
IT-CNORTH,864,0.6355,23.1927,-0.0509,126.1392,126.1902
IT-CSOUTH,864,0.7088,20.2725,-14.1360,110.0673,124.2033
IT-Calabria,864,0.7659,19.1459,-14.1028,107.9078,122.0106
IT-NORTH,864,0.6354,22.4067,-1.4626,124.2616,125.7242
IT-SOUTH,864,0.7486,19.8668,-14.0577,108.2201,122.2778
IT-Sardinia,864,0.6635,24.0096,-15.3219,105.6186,120.9405
IT-Sicily,864,0.7331,20.4045,-11.8749,111.5856,123.4605
LT,864,0.7933,48.8264,-39.0115,72.5212,111.5326
LV,864,0.7830,51.4553,-43.3995,67.7482,111.1478
NL,864,0.5172,26.2684,-14.8286,88.1754,103.0040
NO1,864,0.0105,55.0482,25.0342,111.9465,86.9124
NO2,864,0.6653,16.6943,-2.4084,90.4729,92.8812
NO3,864,0.3157,45.3419,25.8342,82.7069,56.8727
NO4,864,0.1890,29.8141,0.1759,29.6347,29.4588
NO5,864,0.4087,31.4794,6.9816,83.7841,76.8025
PL,864,0.6500,29.3233,-15.9445,102.5345,118.4790
PT,864,0.7706,23.0937,5.1603,69.8534,64.6931
RO,864,0.5453,48.0932,19.4646,141.9639,122.4993
RS,864,0.6317,35.7203,9.8741,120.5262,110.6521
SE1,864,0.4966,29.6690,-13.5990,29.6554,43.2544
SE2,864,0.4981,29.5446,-13.8022,28.0249,41.8271
SE3,864,0.4398,39.3413,4.9710,78.5368,73.5658
SE4,864,0.6408,35.8758,-12.9336,74.3792,87.3128
SI,864,0.2761,50.6842,1.7389,120.7827,119.0439
SK,864,0.6765,38.9930,-33.9070,83.8187,117.7258
