zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.3240,30.2141,-13.4590,102.7687,116.2277
BE,864,0.1705,37.4198,-27.7085,69.2171,96.9256
BG,864,0.7768,30.4014,3.6479,120.2666,116.6187
CH,864,0.6772,23.6210,-8.4204,105.5856,114.0060
CZ,864,0.6780,25.5463,-14.3908,99.4391,113.8299
DE_LU,864,0.8034,21.2607,-10.5480,98.4561,109.0041
DK1,864,0.6131,30.2674,-17.0973,89.8611,106.9585
DK2,864,0.2370,36.1633,-9.4637,98.0013,107.4650
EE,864,0.7752,50.7539,-37.0807,63.6150,100.6957
ES,864,0.7972,22.2407,4.2513,69.5989,65.3475
FI,864,0.8476,36.9458,-33.8834,38.1572,72.0406
FR,864,0.7237,25.9465,2.7815,68.0448,65.2633
GR,864,0.8267,23.6416,-6.4921,98.0540,104.5461
HU,864,0.7435,33.2281,-14.0038,113.2111,127.2149
IT-CNORTH,864,0.6359,23.1814,-0.0647,126.1255,126.1902
IT-CSOUTH,864,0.7094,20.2612,-14.1497,110.0536,124.2033
IT-Calabria,864,0.7664,19.1346,-14.1165,107.8941,122.0106
IT-NORTH,864,0.6358,22.3954,-1.4764,124.2478,125.7242
IT-SOUTH,864,0.7491,19.8555,-14.0714,108.2064,122.2778
IT-Sardinia,864,0.6635,24.0089,-15.3225,105.6180,120.9405
IT-Sicily,864,0.7335,20.3932,-11.8886,111.5719,123.4605
LT,864,0.7933,48.8264,-39.0115,72.5212,111.5326
LV,864,0.7830,51.4553,-43.3995,67.7482,111.1478
NL,864,0.5179,26.2642,-14.8643,88.1397,103.0040
NO1,864,0.0105,55.0482,25.0342,111.9465,86.9124
NO2,864,0.6655,16.6833,-2.4194,90.4618,92.8812
NO3,864,0.3157,45.3419,25.8342,82.7069,56.8727
NO4,864,0.1890,29.8141,0.1759,29.6347,29.4588
NO5,864,0.4087,31.4794,6.9816,83.7841,76.8025
PL,864,0.6500,29.3275,-15.9511,102.5280,118.4790
PT,864,0.7707,23.0875,5.1541,69.8472,64.6931
RO,864,0.5453,48.0910,19.4606,141.9598,122.4993
RS,864,0.6316,35.7244,9.8700,120.5221,110.6521
SE1,864,0.4966,29.6690,-13.5990,29.6554,43.2544
SE2,864,0.4981,29.5446,-13.8022,28.0249,41.8271
SE3,864,0.4398,39.3413,4.9710,78.5368,73.5658
SE4,864,0.6410,35.8768,-12.9403,74.3724,87.3128
SI,864,0.2763,50.7975,1.5461,120.5900,119.0439
SK,864,0.6765,38.9930,-33.9070,83.8187,117.7258
