section,clearing_mode,zone,n,corr,mae,bias,sim_mean,act_mean
GR single-zone 2026-04-01..2026-04-05,single_zone,GR,120,0.8526,25.1261,-8.3851,95.1233,103.5084
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,AT,119,0.8198,27.6731,-12.3161,87.0985,99.4145
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,BE,119,0.9270,22.0872,-4.3895,72.0387,76.4283
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,BG,119,0.8780,25.9056,-6.8146,96.2253,103.0399
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,CH,119,0.9113,31.8741,-8.7067,78.2282,86.9349
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,CZ,119,0.8201,33.2596,-12.0001,71.0779,83.0780
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,DE_LU,119,0.9148,23.7793,-14.8399,65.2387,80.0786
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,DK1,119,0.9437,16.5830,-3.4274,64.9372,68.3646
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,DK2,119,0.9373,19.0977,-12.0144,57.8425,69.8570
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,EE,119,0.5093,22.2809,-7.2176,30.6474,37.8650
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,ES,119,0.7757,33.7870,33.6162,47.9679,14.3517
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,FI,119,0.5785,23.0007,12.2003,39.5031,27.3029
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,FR,119,0.7789,35.3321,-3.5199,61.5785,65.0984
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,GR,119,0.8794,25.5409,-5.9809,97.1090,103.0899
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,HU,119,0.8046,32.4574,-14.4762,85.2621,99.7383
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,IT-CNORTH,119,0.7871,23.4141,-14.3555,116.1295,130.4850
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,IT-CSOUTH,119,0.8547,21.3295,-12.0850,114.8954,126.9804
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,IT-Calabria,119,0.8319,22.2417,-11.5754,112.8955,124.4709
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,IT-NORTH,119,0.7871,23.4141,-14.3555,116.1295,130.4850
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,IT-SOUTH,119,0.8318,22.5614,-11.8951,112.8955,124.7906
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,IT-Sardinia,119,0.8399,23.2558,-14.0113,112.6964,126.7076
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,IT-Sicily,119,0.8322,22.1221,-11.4558,113.0206,124.4764
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,LT,119,0.8113,16.6129,-4.0840,42.6580,46.7420
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,LV,119,0.5485,25.0415,-19.1284,22.9324,42.0608
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,NL,119,0.9011,26.9308,-10.4204,76.6182,87.0386
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,NO1,119,0.8835,30.4991,-30.4097,62.9492,93.3589
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,NO2,119,0.9235,15.7866,-9.4169,75.1121,84.5290
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,NO3,119,0.6655,24.8005,-4.7022,65.7697,70.4720
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,NO4,119,0.2189,18.1459,17.9288,35.6665,17.7377
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,NO5,119,0.4088,37.3834,-37.3074,66.0565,103.3638
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,PL,119,0.8270,39.2496,5.9450,80.6787,74.7338
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,PT,119,0.7715,33.6199,33.4491,48.0456,14.5966
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,RO,119,0.8781,26.0341,-6.9972,96.2253,103.2225
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,RS,119,0.8343,25.6607,-8.6590,95.6327,104.2917
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,SE1,119,0.5448,36.4772,28.1127,48.6157,20.5030
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,SE2,119,0.5647,38.1364,32.0834,51.3007,19.2173
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,SE3,119,0.7840,24.8337,19.9503,57.2914,37.3411
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,SE4,119,0.9048,14.1142,-4.8195,45.1334,49.9529
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,SI,119,0.5973,43.1028,-14.2381,78.2245,92.4626
EU 39-zone multi-zone 2026-04-01..2026-04-05,multi_zone,SK,119,0.8603,36.3196,-21.6932,62.9698,84.6630
